file_name,is_safe,safety_conf,safety_reason,audience_cat,aud_conf,aud_reason,run_time
bad_image_1_body_part.jpg,False,95,"The image depicts what appears to be an artistic, minimalistic drawing of a human nose in a simple line art style. It could potentially be seen as inappropriate or confusing out of context in a public or professional setting",6,90,"The image's abstract and artistic nature does not clearly align with any specific conventional advertising or informational display, making it more suitable for artistic or thematic expressions",11.373077392578125
bad_image_2_communist.jpg,False,95,This image features a symbol that could be sensitive or controversial given its strong political connotations associated with communism,6,90,Displays of overt political symbols might be inappropriate for most public settings unless specifically related to educational or historical context,4.736323595046997
bad_image_3_words.jpg,False,95,"The image contains sensitive and potentially disturbing words such as ""rape,"" ""murder,"" and ""violence,"" which may not be appropriate for a general audience",6,90,"Suitable for art exhibits or contexts exploring social issues, not general public display",7.849939584732056
bad_image_4_middle_finger.jpg,False,95,"The image depicts an offensive gesture (middle finger), which is generally considered inappropriate for public display in any professional or family-friendly environment",6,95,Highly inappropriate for public or formal settings due to its universally offensive nature,5.749290704727173
bad_image_5_racism.jpg,False,95,"The image contains references to a highly controversial and racist organization, the Ku Klux Klan, which could be offensive, provoke distress or incite hatred. Hence, it is not suitable for public display in any neutral or positive context",6,95,"The content is historically relevant but only suitable for very specific contexts like exhibitions or educational discussions addressing racism or social history, not general public displays",11.687702417373657
bad_image_6_racism.jpg,False,95,"This is an image of a swastika symbol, which is widely recognized as a symbol of hate and anti-Semitism, historically associated with the Nazi party",6,95,Displaying this symbol can cause offense and is inappropriate for any public or private settings due to its negative connotations,8.75593090057373
bad_image_7_gore.jpg,False,95,"The image depicts graphic and gory content, showing a grotesque and bloody scene, which is likely inappropriate for public display due to its disturbing nature",6,99,Graphic and potentially disturbing content not suitable for any general public venue,8.623308181762695
optisign_food_1.jpg,True,98,"The image is professionally presented and appropriate, containing food and drink options clearly and attractively displayed with no offensive content",1,98,"Clearly targeted towards customers in a restaurant or food service setting, promoting meal options",6.338942527770996
optisign_food_2.jpg,True,99,"The image is attractive and appropriate for public display, promoting a food item and a discount offer clearly and professionally without any inappropriate content",1,99,"Clearly targeted towards customers in restaurants or food services, particularly appealing to students",12.81366777420044
optisign_food_3.jpg,True,98,"The image is clear, professional, and advertises a promotional beer offer, suitable for venues where alcohol promotion is appropriate",1,95,"because the advertisement directly relates to a promotional offer likely to appeal in bars, restaurants, or similar establishments dealing with food and beverages",7.937316179275513
optisign_food_4.jpg,True,95,"The image is professionally designed with a clear promotion of a drink special, suitable for public display in contexts where alcohol advertisement is appropriate",1,95,"The image specifically promotes a drink special, suitable for restaurants or food services that serve alcoholic beverages",7.933929204940796
optisign_food_5.jpg,True,99,"The image is colorful, clear, and suitable for public display. It effectively promotes a food item, which is appropriate for digital signs in relevant settings",1,98,"The image specifically promotes a food product, ideal for locations selling or promoting food items",8.770207166671753
optisign_food_6.jpg,True,98,"The image is professionally designed and tailored for public display, specifically promoting a company’s online menu which is suitable for a digital signage context",1,99,Specifically designed for restaurant or food service use to promote online menu access,7.050577402114868
optisign_food_7.jpg,True,95,This image is appropriate for public display as it contains no offensive content and promotes a St. Patrick's Day celebration event at a venue,5,95,Suitable for display in food services or restaurants promoting a themed event,8.114940881729126
optisign_food_8.jpg,True,95,"The image is well-suited for public display as it features professional, appetizing, and visually appealing illustrations of food dishes ideal for a menu",1,98,"The image focuses on various food dishes, making it perfect for restaurant or food-inspired signage",5.895524263381958
optisign_food_9.jpg,True,97,"The image is colorful, clearly focused on displaying food, and has no inappropriate content, making it ideal for public digital signage",1,99,Perfect for advertising menu items in a food-related business like a restaurant or food court,6.540404319763184
optisign_office_1.jpg,True,98,"The image is professional, promotes positive recognition of employees, and is appropriate for public display as it does not contain offensive or sensitive content",2,95,Ideal for enhancing workplace morale by showcasing employee recognition in a corporate or office environment,7.285276412963867
optisign_office_2.jpg,True,98,"This image promotes clear communication about a business being cashless and the accepted payment methods, suitable for public display",5,98,"The sign is aimed at customers in business premises that primarily handle transactions, indicating payment options",5.655039310455322
optisign_office_3.jpg,True,99,"The image is clear, informative, and professional with no inappropriate content; it promotes payment options effectively and is suitable for public display",5,99,Fit for businesses/shops given it promotes varied payment methods enhancing customer convenience and encouraging sales,5.401875972747803
optisign_office_4.jpg,True,95,"The image is well-designed, visually appealing, and contains generic content welcoming new members, suitable for public display",2,98,"Ideal for an office workplace for welcoming new staff or members, fostering a welcoming organizational culture",6.2201008796691895
optisign_office_5.jpg,True,98,"The image is a clear and professionally designed sign providing information about business hours, appropriate for a public display setting",5,95,It is relevant for businesses or shops to communicate operating hours to customers,5.60134482383728
optisign_office_6.jpg,True,95,"The image portrays a cheerful woman, suitable for positive branding or promotional content. Content and presentation are professional and appropriate for public viewing",5,95,"The image is suitable for business premises or shops, potentially as part of branding or promotional material",15.520965814590454
optisign_office_7.jpg,True,95,This image of a colorful and generic calendar intended to showcase events or scheduling is professionally designed and appropriate for public display,5,95,This calendar is suitable for various business premises to inform about specific dates and events,5.643036842346191
optisign_office_8.jpg,True,98,"The image is a calendar for the month of April with marked company events, clear and informative for viewers without inappropriate content",2,98,Suitable for office or workplace communication to inform employees about upcoming events and important dates,6.473459959030151
optisign_religion_1.jpg,True,99,"Image is clear and contains suitable content for public viewing, including specific text inviting participation in a youth Bible school event at a church",3,99,The content is clearly designed for display in a religious premises as it promotes a church event involving Bible study,5.5769126415252686
optisign_religion_2.jpg,True,98,"The image is visually appealing, displays clear and respectful content related to a religious event, and contains appropriate information for public display",3,99,"Specifically targets people interested in or part of religious gatherings, evident from the image's content and context",7.3887341022491455
optisign_religion_3.jpg,True,98,The image is suitable for public display as it contains appropriate content promoting a religious gathering which is generally acceptable and does not contain any offensive material,3,95,"The content specifically relates to a religious event, indicating that the primary target audience is visitors or members of religious premises",8.350210428237915
input/optisign_religion_4.jpg,False,0,ValueError,0,0,ValueError,0.0
optisign_religion_5.jpg,True,99,"The image is suitable for public display as it contains appropriate content related to a Christian Youth Week event in a church setting, promoting religious education and community",3,99,"Specifically targets attendees for a church event, making it ideal for display in religious premises",6.215642690658569
optisign_religion_6.jpg,True,95,"The image is suitable for public display as it does not contain offensive or controversial content. It is respectful in nature, based on a religious event (Good Friday",3,98,"The content is explicitly religious, focusing on Good Friday, making it most suitable for display in religious premises",5.69155478477478
optisign_religion_7.jpg,True,99,"This image is visually appealing, colorful, and appropriate for public display, specifically for celebrating or informing about the Holi festival",6,90,Suitable for cultural awareness or celebration contexts across diverse settings,5.348585844039917
optisign_shops_1.jpg,True,95,"This image is professional and non-offensive, presenting a skincare product in a manner suitable for public advertisement, with appropriate content for general audiences",5,90,Ideal for businesses and shops especially those in the beauty or skincare industry,8.569690942764282
optisign_shops_2.jpg,True,95,"The image promotes a loyalty reward program centered on food services, depicted in a professional and aesthetic manner suitable for public display",1,95,"The image clearly promotes a loyalty program related to food services, evident from the coffee and beans displayed",6.8981101512908936
optisign_shops_3.jpg,True,95,"The image is suitable for public display as it has an inviting message with a positive tone, promoting a reopening and welcoming customers",5,90,"The content ""WE ARE OPEN AGAIN"" suggests it is likely aimed at patrons of a venue like a restaurant, café, or similar establishment",6.126359701156616
optisign_shops_4.jpg,True,95,"The image is clearly designed as an advertisement for a winter accessories sale, professionally crafted and suitable for public display. It has no offensive content and promotes a business service in an appealing way",5,95,"The image is promotional material tailored for a retail environment, relevant for attracting customers to a sale event in a store",6.002383708953857
optisign_shops_5.jpg,True,99,"The image is professionally designed, visually appealing, and contains appropriate content for public display, promoting a winter sale",5,95,Well-suited for display in business premises or shops to attract and inform customers about sales and products,6.06547737121582
optisign_shops_6.jpg,True,99,"The image is clear and appropriate for public display, it contains commercial content promoting a bike sale which is suitable for viewing in a public setting",5,99,The content is promotional and specific to business premises or shops selling bicycles or related accessories,7.186067819595337
optisign_shops_7.jpg,True,95,"The image is professionally designed, clear in its message, uses appealing visuals that are suitable for general public display, includes a promotional offer which is appropriate for a commercial setting",5,95,The content promotes a retail discount offer which is typically relevant and appealing to customers in a commercial retail environment,6.133430242538452
optisign_shops_8.jpg,True,99,"The image contains a clear and professional message suitable for public viewing, indicating a temporary closure of a service or location",5,95,Commonly used in retail or customer-facing businesses to inform about temporary closures,5.4718732833862305
optisign_shops_9.jpg,True,99,"The image is professional, contains no offensive content, and promotes a product in a visually appealing and clear manner, suitable for display in public",5,99,"The image is specifically designed for retail or business promotion, making it suitable for shops or other business premises where product advertising is relevant",5.951821327209473
optisign_unique_1.jpg,True,95,"The image provides useful and relevant health safety information about coronavirus prevention, suitable for public display to promote health awareness",2,95,Suitable for office or workplace communication as it emphasizes health and safety protocols,6.569364309310913
optisign_unique_2.jpg,True,99,"The image is visually appealing and appropriate for public display. It features a cheerful dog and a positive message about pet health, suitable for all audiences",6,95,"Suitable for pet-related businesses, vet clinics, or pet supply stores targeting pet owners",6.218302488327026
optisign_unique_3.jpg,True,95,"The image is professional, visually appealing, and free from any content that would be inappropriate for public display",5,99,Suitable for display in a hotel or similar hospitality setting,6.805303335189819
optisign_unique_4.jpg,True,95,"The image is professionally designed and contains appropriate content for public display, including a clear focus on metal fabrication services",5,95,"Appropriate for businesses or shops related to metal fabrication, trades, or related industries",6.29488205909729
optisign_unique_5.jpg,True,99,"The image is professional, visually appealing, advertises a clear service with an offer, and contains all necessary information for public display",5,98,It effectively promotes a driving school service which is generally applicable in business or shop premises that offer professional training services,6.0440332889556885
optisign_university_1.jpg,True,98,"The image is professionally crafted with a clear layout, appropriate content, and lacks any offensive or inappropriate material, making it suitable for public display",6,95,"The content seems geared towards providing information about a university building, making it suitable for educational purposes or general informational displays",15.883965492248535
optisign_university_2.jpg,True,98,"This image is suitable for public display as it contains clear, professional content aimed at informing about email subscriptions and upcoming events",4,98,Suitable for a university setting given the informative and educational content about events and news,4.830900192260742
optisign_university_3.jpg,True,99,"The image is appropriate and professionally designed, suitable for public display, showing no offensive content and providing useful information",4,99,Suitable as it is an informational display likely intended for students and staff at a university,17.51429843902588
optisign_university_4.jpg,True,95,"This image is designed professionally, showcasing clean typography and informational clarity which is suitable for public display",4,95,"Designed as a directory for an educational institution, specifically useful for students, staff, and visitors navigating buildings",6.005888938903809
optisign_university_5.jpg,True,99,"The image is a well-designed, visually appealing promotional poster for a school science fair, which is appropriate for public viewing and relevant for its intended purpose",4,99,The content explicitly promotes an educational event (Science Fair) targeted at schools or university communities,5.270418882369995
optisign_university_6.jpg,True,98,"The image is visually appealing, contains no inappropriate content, and is relevant for promoting a book fair, making it suitable for public display",4,95,Ideal for educational environments like schools or universities to promote literacy and learning events,6.240111589431763
optisign_university_7.jpg,True,99,"This image is professionally designed, clear, and appropriate for its content and context, suitable for display in educational environments",4,99,"Specifically designed for educational settings, promoting a classroom event",6.627593517303467
optisign_university_8.jpg,True,95,The image is appropriate and professional for public display; it promotes positive recognition and achievement,4,98,"The content is specifically designed for educational environments, celebrating academic or extracurricular achievements",5.682510614395142
optisign_university_9.jpg,True,99,"The image is suitable for public display as it is positive, promotes educational achievement, and contains no offensive content",4,99,"Specifically tailored for educational environments, celebrating academic success",4.606077432632446
